EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
51,1,48,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,1,1,13,3,4,80,0,23,2,3,1,0,0,0
52,1,28,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,1,1,13,3,3,80,0,2,3,2,2,2,2,2
53,0,44,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,1,1,21,4,3,80,1,9,2,2,4,3,1,3
54,0,35,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,1,1,13,3,3,80,1,10,3,3,4,0,2,3
55,0,26,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,1,1,19,3,3,80,1,5,2,2,2,2,0,0
56,0,33,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,1,1,12,3,3,80,0,15,1,3,15,14,8,12
57,0,35,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,1,0,22,4,4,80,1,9,3,2,9,8,1,8
58,0,35,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,1,1,15,3,3,80,1,4,3,3,2,2,2,2
59,0,31,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,1,0,22,4,4,80,1,10,3,2,7,7,1,7
60,0,37,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,1,0,18,3,3,80,1,7,2,4,7,5,0,7
61,0,32,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,1,1,22,4,2,80,1,9,3,3,9,8,7,8
62,0,38,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,1,0,11,3,4,80,0,10,2,3,10,3,9,9
63,0,50,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,1,1,12,3,4,80,1,29,2,2,27,3,13,8
64,0,59,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,1,0,11,3,4,80,0,28,3,2,21,16,7,9
65,0,36,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,1,0,13,3,2,80,3,17,2,3,17,14,12,8
66,0,55,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,1,1,14,3,3,80,3,21,2,3,5,0,0,2
67,0,36,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,1,0,13,3,3,80,0,6,3,3,6,5,0,3
68,0,45,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,1,0,17,3,3,80,1,25,2,3,1,0,0,0
69,0,35,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,1,0,13,3,4,80,1,5,2,2,3,2,1,2
70,1,36,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,1,1,17,3,1,80,1,2,0,2,1,0,0,0
71,0,59,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,1,0,11,3,4,80,0,20,2,2,4,3,1,3
72,0,29,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,1,0,23,4,4,80,1,6,3,3,5,4,0,4
73,0,31,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,1,0,17,3,2,80,0,1,4,3,1,1,1,0
74,0,32,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,1,0,17,3,2,80,2,10,3,3,10,4,0,9
75,0,36,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,1,0,12,3,2,80,0,5,3,3,1,0,0,0
76,0,31,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,1,0,23,4,4,80,0,11,2,3,11,7,1,8
77,0,35,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,1,0,14,3,2,80,0,16,2,3,15,13,2,8
78,0,45,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,1,1,14,3,2,80,0,17,3,4,0,0,0,0
79,0,37,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,1,0,13,3,1,80,0,16,3,4,5,2,0,2
80,0,46,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,1,1,22,4,4,80,1,16,2,3,4,2,0,2
81,0,30,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,1,1,12,3,3,80,2,10,1,2,10,8,3,0
82,0,35,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,1,0,18,3,1,80,0,6,3,3,6,4,0,4
83,0,55,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,1,0,14,3,4,80,1,24,4,3,1,0,1,0
84,0,38,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,1,1,12,3,4,80,3,17,3,3,13,11,1,9
85,0,34,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,1,0,15,3,3,80,0,5,2,3,5,2,1,3
86,0,56,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,1,0,11,3,1,80,0,37,3,2,6,4,0,2
87,0,23,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,1,0,13,3,3,80,1,3,3,3,0,0,0,0
88,0,51,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,1,0,23,4,2,80,2,10,4,3,4,2,0,3
89,0,30,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,1,0,19,3,1,80,3,11,3,3,11,10,10,8
90,1,46,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,1,0,16,3,4,80,0,9,3,3,9,8,4,7
91,0,40,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,1,0,22,4,4,80,1,22,3,2,22,3,11,11
92,0,51,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,1,1,22,4,4,80,0,11,2,1,10,7,1,0
93,0,30,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,1,1,12,3,2,80,3,11,4,2,11,8,2,7
94,0,46,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,1,1,13,3,3,80,1,21,5,2,10,9,9,5
95,0,32,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,1,0,16,3,1,80,0,12,0,3,11,8,5,7
96,0,54,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,1,0,12,3,1,80,1,16,5,1,4,3,0,3
97,0,24,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,1,0,21,4,1,80,1,4,2,2,3,2,0,2
98,0,28,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,1,0,15,3,2,80,0,5,3,4,5,4,0,4
99,0,58,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,1,0,13,3,3,80,0,38,1,2,37,10,1,8
100,0,44,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,1,0,12,3,3,80,1,17,3,4,3,2,1,2
101,1,37,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,1,1,22,4,4,80,0,7,3,3,3,2,0,2
102,0,32,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,1,0,13,3,4,80,0,1,2,3,1,0,0,0
103,1,20,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,1,1,18,3,2,80,0,1,5,3,1,0,1,0
104,0,34,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,1,0,14,3,3,80,0,16,3,3,16,13,2,10
105,0,37,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,1,0,14,3,4,80,1,17,2,4,1,0,0,0
106,0,59,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844,21922,9,1,0,21,4,4,80,1,30,3,3,3,2,2,2
107,0,50,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172,9755,3,1,1,19,3,1,80,0,28,1,2,8,3,0,7
108,1,25,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,1,1,11,3,4,80,0,6,1,3,6,4,0,3
109,0,25,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,1,0,11,3,3,80,2,2,2,3,2,2,2,1
110,0,22,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871,23785,1,1,0,15,3,3,80,0,1,5,3,0,0,0,0
111,0,51,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484,25796,3,1,0,20,4,3,80,0,23,1,2,13,12,12,8
112,1,34,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074,22887,1,1,1,24,4,4,80,0,9,3,3,9,7,0,6
113,0,54,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328,13871,2,1,1,12,3,3,80,0,23,3,3,5,3,4,4
114,0,24,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,0,1,0,12,3,3,80,1,6,2,3,5,3,1,2
115,0,34,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505,15000,6,1,0,15,3,3,80,1,12,3,3,1,0,0,0
116,0,37,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,2,1,0,12,3,1,80,0,12,3,3,5,3,1,3
117,0,34,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631,5615,2,1,0,12,3,4,80,0,14,6,3,11,10,5,8
118,0,36,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738,22952,0,1,0,14,3,3,80,1,10,6,3,9,7,2,8
119,0,36,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,1,0,22,4,1,80,1,7,2,3,1,0,0,0
120,0,43,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16959,19494,1,1,1,12,3,4,80,2,25,3,4,25,12,4,12
121,0,30,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,1,0,25,4,3,80,3,10,2,2,10,7,0,9
122,0,33,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146,15480,0,1,0,13,3,1,80,1,8,2,4,7,7,0,7
123,1,56,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963,4510,9,1,1,18,3,1,80,3,7,2,3,5,4,4,3
124,0,51,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,1,0,13,3,3,80,0,23,5,3,20,18,15,15
125,1,31,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,1,1,18,3,2,80,0,12,3,2,7,7,7,7
126,0,26,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,1,0,19,3,3,80,0,5,3,2,5,4,4,3
127,1,58,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,1,0,12,3,4,80,1,40,3,2,40,10,15,6
128,1,19,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,1,1,19,3,4,80,0,0,2,2,0,0,0,0
129,0,22,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523,19299,0,1,0,14,3,3,80,1,3,2,3,2,1,2,1
130,0,49,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,6567,5549,1,1,0,14,3,3,80,0,16,2,2,15,11,5,11
131,0,43,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,4,1,0,12,3,4,80,0,18,2,3,3,2,1,2
132,0,50,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208,6645,4,1,0,11,3,4,80,0,16,3,3,2,2,2,1
133,1,31,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,1,1,11,3,3,80,1,4,2,3,2,2,2,2
134,0,41,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,8189,21196,3,1,1,13,3,3,80,1,12,2,3,9,7,0,7
135,0,26,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942,8916,1,1,0,23,4,4,80,1,8,3,3,8,7,5,7
136,0,36,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,1,0,20,4,4,80,2,7,0,3,3,2,0,1
137,1,51,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,1,0,15,3,4,80,0,18,2,3,4,2,0,3
138,0,39,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4,1,0,14,3,3,80,1,17,1,4,15,11,5,9
139,0,25,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,8639,24835,2,1,0,18,3,4,80,0,6,3,3,2,2,2,2
140,0,30,Travel_Rarely,1240,Human Resources,9,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,6347,13982,0,1,1,19,3,4,80,0,12,2,1,11,9,4,7
141,1,32,Travel_Rarely,1033,Research & Development,9,3,Medical,1,Female,41,3,1,Laboratory Technician,1,Single,4200,10224,7,1,0,22,4,1,80,0,10,2,4,5,4,0,4
142,0,45,Travel_Rarely,1316,Research & Development,29,3,Medical,3,Male,83,3,1,Research Scientist,4,Single,3452,9752,5,1,0,13,3,2,80,0,9,2,2,6,5,0,3
143,0,38,Travel_Rarely,364,Research & Development,3,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,1,1,20,4,2,80,0,19,2,3,3,2,2,2
144,0,30,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,Female,75,3,1,Research Scientist,3,Single,2632,23910,1,1,0,14,3,3,80,0,5,4,2,5,4,0,4
145,0,32,Travel_Frequently,689,Sales,9,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,4668,22812,0,1,0,17,3,4,80,3,9,2,4,8,7,0,7
